,AAPL,PETS,STMP,VZ,SO,T,FXY,FXB,FXF,VCLT
2016-06-13,92.0119400024414,16.33803939819336,90.68000030517578,44.48677062988281,43.19795227050781,32.77772521972656,91.08000183105469,139.1300048828125,99.5999984741211,79.8023910522461
2016-06-14,92.1253890991211,16.126201629638672,90.69999694824219,44.842193603515625,43.48599624633789,32.93268966674805,91.16000366210938,137.92999267578125,99.69999694824219,79.60449981689453
2016-06-15,91.8228988647461,16.117374420166016,91.41999816894531,44.71525573730469,43.10476303100586,32.85929870605469,91.23999786376953,138.74000549316406,99.88999938964844,79.66471099853516
2016-06-16,92.21046447753906,16.055583953857422,89.73999786376953,45.23991775512695,43.25725173950195,33.022403717041016,92.62999725341797,139.0,99.6500015258789,79.9744644165039
2016-06-17,90.11197662353516,16.099721908569336,89.04000091552734,45.510711669921875,43.33350372314453,33.218135833740234,92.83000183105469,140.41000366210938,100.0199966430664,79.67334747314453
2016-06-20,89.89456176757812,16.29390525817871,92.13999938964844,45.4937858581543,43.15559387207031,33.258914947509766,93.11000061035156,143.6199951171875,99.80000305175781,79.45824432373047
2016-06-21,90.66021728515625,16.108549118041992,92.0999984741211,45.78151321411133,43.121707916259766,33.495426177978516,92.26000213623047,142.99000549316406,99.87000274658203,79.10545349121094
2016-06-22,90.3199234008789,16.249774932861328,90.3499984741211,45.72227478027344,43.0793571472168,33.683006286621094,92.55000305175781,143.63999938964844,100.13999938964844,79.27754974365234
2016-06-23,90.83982849121094,16.329214096069336,88.54000091552734,46.26386642456055,43.25725173950195,34.15604782104492,91.29000091552734,145.4600067138672,100.12999725341797,79.21733093261719
2016-06-24,88.2876205444336,16.29390525817871,85.23999786376953,46.0607795715332,43.36738586425781,33.86244201660156,94.56999969482422,133.3000030517578,98.80999755859375,79.7249526977539
2016-06-27,87.0020523071289,16.073238372802734,82.33000183105469,46.32310485839844,44.22304916381836,34.278377532958984,94.70999908447266,129.22999572753906,98.0199966430664,80.80907440185547
2016-06-28,88.46720886230469,16.135028839111328,84.56999969482422,46.390804290771484,44.31623840332031,34.27021789550781,94.19999694824219,130.57000732421875,97.8499984741211,81.49737548828125
2016-06-29,89.23286437988281,16.311559677124023,86.51000213623047,46.59390640258789,44.239990234375,34.694313049316406,94.0199966430664,131.32000732421875,97.87999725341797,81.35111999511719
2016-06-30,90.36719512939453,16.558700561523438,87.41999816894531,47.25396728515625,45.43451690673828,35.24074935913086,93.58000183105469,130.14999389648438,98.29000091552734,81.34249877929688
2016-07-01,90.64131927490234,16.558700561523438,86.88999938964844,47.58400344848633,45.60395812988281,35.45280075073242,94.23999786376953,129.8699951171875,98.58000183105469,82.19982147216797
2016-07-05,89.79057312011719,16.594011306762695,86.66999816894531,47.837867736816406,45.959774017333984,35.35492706298828,95.06999969482422,127.37999725341797,98.23999786376953,83.06316375732422
2016-07-06,90.30101776123047,16.75288963317871,87.70999908447266,48.09003829956055,46.1207389831543,35.54460525512695,95.41999816894531,126.41999816894531,98.36000061035156,83.20130920410156
2016-07-07,90.68858337402344,16.7352352142334,88.44000244140625,47.337833404541016,45.459938049316406,34.88485336303711,95.95999908447266,126.20999908447266,98.05999755859375,83.29627227783203
2016-07-08,91.3880844116211,16.982379913330078,86.30000305175781,47.782310485839844,45.86658477783203,35.140506744384766,96.26000213623047,126.54000091552734,97.52999877929688,83.98697662353516
2016-07-11,91.6716537475586,17.02651596069336,79.27999877929688,47.80795669555664,45.570072174072266,35.05802917480469,94.01000213623047,127.08000183105469,97.66000366210938,84.09056854248047
2016-07-12,92.08757781982422,17.06182098388672,80.13999938964844,47.41475296020508,44.76524353027344,34.97557067871094,92.13999938964844,129.57000732421875,97.04000091552734,82.93367767333984
2016-07-13,91.56768035888672,17.105953216552734,73.8499984741211,47.86779022216797,45.010929107666016,35.1240119934082,92.52999877929688,128.44000244140625,97.48999786376953,83.38260650634766
2016-07-14,93.38257598876953,17.229528427124023,74.80000305175781,47.731021881103516,45.417579650878906,35.272464752197266,91.7699966430664,130.36000061035156,97.91000366210938,83.05452728271484
2016-07-15,93.37313842773438,17.132434844970703,74.72000122070312,47.731021881103516,45.43451690673828,35.37142562866211,91.62000274658203,129.25999450683594,97.63999938964844,82.19982147216797
2016-07-18,94.36565399169922,17.300142288208008,74.7300033569336,47.80795669555664,45.426048278808594,35.33843231201172,91.01000213623047,129.5500030517578,97.6500015258789,82.14802551269531
2016-07-19,94.40347290039062,17.21187400817871,71.33999633789062,47.61136245727539,45.426048278808594,35.272464752197266,91.05000305175781,127.93000030517578,97.3499984741211,82.64009857177734
2016-07-20,94.48855590820312,17.40605354309082,73.4000015258789,47.54296875,45.18036651611328,35.22297668457031,90.30999755859375,129.14999389648438,97.22000122070312,82.61421966552734
2016-07-21,93.98755645751953,17.21187400817871,72.7300033569336,47.32927322387695,45.66325759887695,35.06629180908203,91.43000030517578,129.0500030517578,97.30000305175781,82.61421966552734
2016-07-22,93.25970458984375,17.300142288208008,77.4000015258789,47.95326614379883,46.20545959472656,35.5528564453125,91.02999877929688,128.08999633789062,97.02999877929688,82.7610092163086
2016-07-25,92.0119400024414,18.09453582763672,79.62000274658203,47.75667190551758,46.20545959472656,35.412654876708984,91.3499984741211,128.39999389648438,97.25,82.57969665527344
2016-07-26,91.37862396240234,18.341678619384766,77.80999755859375,46.85060119628906,46.129215240478516,34.950828552246094,92.4000015258789,128.3300018310547,96.73999786376953,82.57969665527344
2016-07-27,97.31486511230469,18.20928192138672,79.54000091552734,47.286537170410156,45.358272552490234,35.26420974731445,91.77999877929688,128.97000122070312,97.19999694824219,83.2358627319336
2016-07-28,98.62876892089844,18.4829044342041,80.83999633789062,46.89333724975586,45.121055603027344,35.11576461791992,91.69999694824219,128.6199951171875,97.80999755859375,83.13223266601562
2016-07-29,98.50592041015625,18.29754638671875,75.80999755859375,47.363468170166016,45.32439041137695,35.701297760009766,94.70999908447266,129.35000610351562,98.93000030517578,83.41715240478516
2016-08-01,100.24519348144531,18.3681583404541,78.12999725341797,46.58561706542969,45.45146560668945,35.6105842590332,94.41999816894531,128.77000427246094,99.04000091552734,82.8133773803711
